id;domain;is_legal;is_automated;is_interesting;is_interesting_desc
119;bbva.inicio-es.info;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
120;homa1.co;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
121;dinr.me;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
122;82link.cc;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
123;ehplabsuk.smsb.co;f;f;f;DATA_INTERESTING_DESC_NO_AD
124;es.bbva-soporte-clientes.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
125;kikoff.com;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
126;pplchck.com;f;f;t;DATA_INTERESTING_DESC_YES_PII
127;intch1.co;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
128;craftd.pscrpt.io;f;f;f;DATA_INTERESTING_DESC_NO_AD
129;ijcpct.in;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
130;revolut.onelink.me;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
131;wilkinsonsword.zptr.im;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
132;a.lott.co;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
133;verfy.co;f;f;f;
134;news.sfcollege.edu;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
135;apply.oportun.com;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
136;mobile.bet9ja.com;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
137;nvosms.co;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
138;biy.io;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
139;nos.pt;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
140;www.o2.co.uk;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
141;www.shaadi.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
142;ptxt.me;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
143;stk9998.co;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
144;moj.doublestar.sk;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
145;teya.cc;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
146;app.adjust.com;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
147;google.net;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
148;nbet.co;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
149;pimedigital.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
150;pscrpt.io;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
151;launchapp.credas.co.uk;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
152;lensa.ro;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
153;keny.me;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
154;hqy.me;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
155;app.cm.ourcart.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
156;recovery.careem.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
157;ola351.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
158;bap.mx;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
159;my4.uno;f;f;f;
160;dhlsfdd.top;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
161;hoi.fm;f;f;f;
162;vivavida.onelink.me;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
163;www.checkatrade.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
164;fdea.io;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
165;aka.ms;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
166;optxt.net;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
167;t.co;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
168;ukrwdz.com;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
169;acs1.tc;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
170;mn1.uno;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
171;emujac.com;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
172;phongvantech.vn;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
173;trb1.co;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
174;amazon.de;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
175;WNDRSKN.smsb.co;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
176;amazon.es;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
177;t.uber.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
178;ospt.me;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
179;ebmm1.co;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
180;super.sng.link;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
181;facebook-update0.blog;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
182;reports.viber.com;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
183;yahoo.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
184;shorturl.at;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
185;store.playwing.com;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
186;byt.tips;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
187;ccs1.co;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
188;amazon.co.uk;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
189;tx.vc;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
190;gt.sms247.de;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
191;itbl.co;f;f;f;DATA_INTERESTING_DESC_NO_AD
192;mfort.win;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
193;cl17.xyz;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
194;www.vandalay.in;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
195;contrato.totalenergies.es;f;f;f;DATA_INTERESTING_DESC_NO_AD
196;wuqsl.com;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
197;abre.ai;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
198;ruadapalma.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
199;new.three.co.uk;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
200;current.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
201;bit.ly;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
202;yxeeh.com;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
203;links.hearclear.com;f;f;f;DATA_INTERESTING_DESC_NO_AD
204;c.rocket.la;f;f;f;DATA_INTERESTING_DESC_NO_AD
